trade_id,location,target_date,strategy,status,resolution_source,entry_price,tp_price,shares,actual_exit_price,actual_pnl,hit_2x,first_touch_ts_utc,max_price_seen,hypothetical_exit_price,hypothetical_pnl,delta_vs_actual,token_source,has_adds
paper_ef0583a5-3d4e-40_1776517240,Wellington,2026-04-20,unknown,resolved,openmeteo,0.3,0.6,666.6666666666667,0.0005,-199.6667,False,,0.575,0.0005,-199.6667,0.0,gamma_event_question,False
paper_9a975201-8d57-47_1776536535,Wellington,2026-04-20,unknown,resolved,openmeteo,0.19,0.38,1052.6315789473683,0.195,5.263157894736846,True,1776641459,0.9995,0.38,200.0,194.7368,gamma_event_question,False
paper_f558acf5-d0ff-46_1776536538,Chengdu,2026-04-19,unknown,resolved,,0.195,0.39,1025.6410256410256,0.0,-200.0,False,,0.225,0.0,-200.0,0.0,gamma_event_question,False
paper_d39ec3f6-3849-48_1776536541,Tokyo,2026-04-20,unknown,resolved,simmer,0.35,0.7,571.4285714285714,0.963,350.2857,True,1776661849,0.9995,0.7,200.0,-150.2857,gamma_event_question,False
paper_0a0cf089-aa36-45_1776644844,Beijing,2026-04-21,unknown,resolved,,0.25,0.5,800.0,0.0005,-199.6,False,,0.36,0.0005,-199.6,0.0,gamma_event_question,False
paper_394910aa-d4d0-4c_1776644847,Hong Kong,2026-04-20,unknown,resolved,simmer,0.3,0.6,666.6666666666667,0.994,462.6667,True,1776656446,0.9995,0.6,200.0,-262.6667,gamma_event_question,False
paper_414ff8b9-0e42-45_1776667658,Shenzhen,2026-04-22,unknown,resolved,historical_fallback,0.23,0.46,869.5652173913043,0.0,-200.0,False,,0.245,0.0,-200.0,0.0,gamma_event_question,False
paper_a30d60e4-0985-47_1776667661,Los Angeles,2026-04-22,unknown,resolved,openmeteo,0.275,0.55,727.2727272727273,0.275,0.0,False,,0.535,0.275,0.0,0.0,gamma_event_question,False
paper_475a6376-6040-46_1776669158,NYC,2026-04-22,unknown,resolved,openmeteo,0.11,0.22,1818.1818181818182,0.165,100.0,True,1776671411,0.29,0.22,200.0,100.0,gamma_event_question,False
manual_hk_2026-04-21_28c,Hong Kong,2026-04-21,core,resolved,,0.3,0.6,666.6666666666667,0.997,464.6667,True,1776741057,0.9995,0.6,200.0,-264.6667,gamma_market_id,False
manual_sz_2026-04-21_28c,Shenzhen,2026-04-21,core,resolved,,0.3,0.6,666.6666666666667,0.001,-199.3333,False,,0.285,0.001,-199.3333,0.0,gamma_market_id,False
paper_9e1f8cb8-bbf2-48_1776735411,Hong Kong,2026-04-22,core,resolved,simmer,0.315,0.63,634.9206349206349,0.0,-200.0,False,,0.325,0.0,-200.0,0.0,gamma_event_question,False
paper_18060c1d-d3ae-46_1776767096,Wellington,2026-04-23,core,resolved,historical_fallback,0.365,0.73,547.945205479452,1.0,347.9452,False,,0.41,1.0,347.9452,0.0,gamma_event_question,False
paper_9933be31-b949-4c_1776926359,Munich,2026-04-25,core,resolved,simmer,0.13,0.26,1538.4615384615383,0.0,-200.0,False,,0.255,0.0,-200.0,0.0,gamma_event_question,False
paper_cb14abff-5089-45_1777012005,Milan,2026-04-26,core,resolved,manual,0.14,0.28,2142.8571428571427,0.34,428.5714,True,1777099803,0.9995,0.28,300.0,-128.5714,journal,False
manual_well_2026-04-25_14c,Wellington,2026-04-25,punt,resolved,polymarket_api,0.0355,0.071,422.5352112676057,0.001,-15.0,True,1777055404,0.0985,0.071,15.0,30.0,gamma_market_id,False
manual_tokyo_2026-04-26_20c_1777026934,Tokyo,2026-04-26,core,resolved,simmer,0.39,0.78,270.05128205128204,1.0,164.7313,True,1777180805,0.9995,0.78,105.32,-59.4113,journal,False
paper_1f5d6880-33a6-4c_1777027948,Singapore,2026-04-25,core,resolved,manual,0.14,0.28,1428.5714285714284,0.0,-200.0,False,,0.165,0.0,-200.0,0.0,gamma_event_question,False
paper_bd23b292-1abf-46_1777038646,Ankara,2026-04-25,core,resolved,simmer,0.2,0.4,1000.0,0.0,-200.0,True,1777120203,0.665,0.4,200.0,400.0,gamma_event_question,False
paper_2478ad4c-db0a-4b_1777040810,Singapore,2026-04-26,core,resolved,early_exit_position_manager,0.055,0.11,3636.3636363636365,0.0135,-150.9091,False,,0.0695,0.0135,-150.9091,0.0,journal,False
paper_27e33aec-4775-46_1777055875,Lucknow,2026-04-25,core,resolved,simmer,0.185,0.37,1081.081081081081,0.0,-200.0,False,,0.195,0.0,-200.0,0.0,gamma_event_question,False
paper_c5d1b4d4-4081-4f_1777070282,NYC,2026-04-26,core,resolved,simmer,0.136,0.272,1470.5882352941176,0.0,-200.0,False,,0.1895,0.0,-200.0,0.0,journal,False
paper_bea80cde-da48-46_1777098996,Paris,2026-04-27,core,resolved,polymarket_cli,0.195,0.39,1025.6410256410256,0.0,-200.0,True,1777217405,0.39,0.39,200.0,400.0,journal,False
paper_d1210937-eb36-49_1777113023,Warsaw,2026-04-27,core,resolved,early_exit_position_manager,0.1625,0.325,1230.769231,0.195,40.0,True,1777183804,0.36,0.325,200.0,160.0,journal,False
paper_dc2c06d1-4c1a-4e_1777127764,Shanghai,2026-04-26,core,resolved,early_exit_position_manager,0.15,0.3,666.6666666666667,0.0005,-99.6667,True,1777167005,0.465,0.3,100.0,199.6667,journal,False
paper_6f754021-f4f2-41_1777176044,Shanghai,2026-04-27,core,resolved,early_exit_position_manager,0.355,0.71,281.69014084507046,0.0005,-99.8592,False,,0.7,0.0005,-99.8592,0.0,journal,False
paper_96f37049-b3c5-48_1777201672,Milan,2026-04-28,core,resolved,gamma,0.535,1.0,560.7476635514018,1.0,260.7477,False,,0.9995,1.0,260.7477,0.0,journal,False
paper_efb4170a-7527-4a_1777208108,Munich,2026-04-26,late,resolved,polymarket_cache,0.8,1.0,250.0,1.0,50.0,False,,0.9995,1.0,50.0,0.0,journal,True
paper_95152b30-9da2-40_1777250344,Munich,2026-04-28,core,resolved,early_exit_position_manager,0.155,0.31,1935.483870967742,0.215,116.129,True,1777303805,0.535,0.31,300.0,183.871,journal,False
paper_18813bef-df88-4b_1777250347,Seoul,2026-04-28,core,resolved,early_exit_position_manager,0.17,0.34,1176.4705882352941,0.56,458.8235,True,1777344005,0.9995,0.34,200.0,-258.8235,journal,False
paper_63f5c80f-7641-4c_1777259357,Wellington,2026-04-27,late,resolved,manual,0.395,0.79,253.1645569620253,1.0,153.1646,True,1777259404,0.9995,0.79,100.0,-53.1646,journal,False
paper_bc59c2fe-85ca-4c_1777270186,Singapore,2026-04-29,core,resolved,early_exit_position_manager,0.195,0.39,1025.6410256410256,0.06,-138.4615,True,1777393204,0.435,0.39,200.0,338.4615,journal,False
paper_950befc9-3185-47_1777273526,Munich,2026-04-29,core,resolved,early_exit_position_manager,0.165,0.33,1818.181818181818,0.04,-227.2727,True,1777380603,0.46,0.33,300.0,527.2727,journal,False
paper_90ed1a27-6b46-4c_1777273532,Buenos Aires,2026-04-28,core,resolved,early_exit_position_manager,0.19,0.38,1052.6315789473683,0.0255,-173.1579,True,1777376404,0.5,0.38,200.0,373.1579,journal,False
paper_fa52430b-6b1d-4f_1777273759,Shenzhen,2026-04-27,late,resolved,manual,0.8405,1.0,118.9767995240928,1.0,18.9768,False,,0.9995,1.0,18.9768,0.0,journal,False
paper_ad0841ad-2f36-45_1777273763,Chengdu,2026-04-27,late,resolved,manual,0.943,1.0,106.04453870625663,1.0,6.0445,False,,0.9995,1.0,6.0445,0.0,journal,False
paper_f966248d-a074-4d_1777273766,Chongqing,2026-04-27,late,resolved,manual,0.735,1.0,136.0544217687075,1.0,36.0544,False,,0.9995,1.0,36.0544,0.0,journal,False
paper_4a12d65d-b58d-47_1777288489,Ankara,2026-04-28,core,resolved,early_exit_position_manager,0.195,0.39,952.3809523809524,0.155,-38.0952,True,1777373403,0.4,0.39,185.7143,223.8095,journal,False
paper_114c72de-5321-42_1777288492,Seoul,2026-04-29,core,resolved,early_exit_position_manager,0.195,0.39,1025.6410256410256,0.34,148.7179,True,1777431008,0.9995,0.39,200.0,51.2821,journal,False
paper_dfbc96b7-061b-4e_1777291763,Tel Aviv,2026-04-27,late,resolved,gamma,0.885,1.0,112.99435028248587,1.0,12.9944,False,,0.9995,1.0,12.9944,0.0,journal,False
paper_10dfd409-b6f1-46_1777295177,Paris,2026-04-28,core,resolved,early_exit_position_manager,0.17,0.34,1176.4705882352941,0.21,47.0588,True,1777327806,0.495,0.34,200.0,152.9412,journal,False
paper_dd2b3c0b-dbdc-42_1777295179,Toronto,2026-04-29,core,resolved,early_exit_position_manager,0.195,0.39,1025.6410256410256,0.39,200.0,True,1777394404,0.45,0.39,200.0,0.0,journal,False
paper_012542a6-af64-42_1777300335,London,2026-04-27,late,resolved,early_exit_position_manager,0.52,1.0,240.3846153846154,0.52,0.0,False,,0.9995,0.52,0.0,0.0,journal,False
paper_f0a443c3-2593-4e_1777313373,Buenos Aires,2026-04-27,late,resolved,early_exit_position_manager,0.615,1.0,203.2520325203252,0.615,0.0,False,,0.75,0.615,0.0,0.0,journal,False
paper_6e14b157-da59-4c_1777316996,Sao Paulo,2026-04-28,core,resolved,early_exit_position_manager,0.47,0.94,425.53191489361706,0.0005,-199.7872,False,,0.5,0.0005,-199.7872,0.0,journal,False
paper_68f84619-dfa0-42_1777317232,NYC,2026-04-27,late,resolved,gamma,0.555,1.0,405.405405,1.0,180.4054,False,,0.9995,1.0,180.4054,0.0,journal,True
paper_617c3ce8-f75e-4d_1777317238,Toronto,2026-04-27,late,resolved,early_exit_position_manager,0.68,1.0,183.8235294117647,0.68,0.0,False,,0.9995,0.68,0.0,0.0,journal,False
paper_84203312-73e6-40_1777320562,Chicago,2026-04-27,late,resolved,early_exit_position_manager,0.3,0.6,416.6666666666667,0.3,0.0,False,,0.355,0.3,0.0,0.0,journal,False
paper_3808cd87-f29e-47_1777360308,Warsaw,2026-04-29,core,resolved,early_exit_position_manager,0.17,0.34,1935.483870967742,0.031,-269.0323,True,1777380603,0.465,0.34,329.0323,598.0646,journal,False
paper_753848cd-2fed-47_1777360522,Singapore,2026-04-28,late,resolved,gamma,0.885,1.0,141.24293785310735,1.0,16.2429,False,,0.9995,1.0,16.2429,0.0,journal,False
paper_f93baf43-0780-4c_1777360529,Wuhan,2026-04-28,late,resolved,gamma,0.787402,1.0,171.449891,1.0,36.4499,False,,0.9995,1.0,36.4499,0.0,journal,True
paper_56769162-ee44-41_1777381763,Warsaw,2026-04-28,late,resolved,manual,0.69,1.0,181.1594202898551,1.0,56.1594,False,,0.9995,1.0,56.1594,0.0,journal,False
paper_bf6ef547-7952-45_1777386767,London,2026-04-28,late,resolved,manual,0.865,1.0,144.50867052023122,1.0,19.5087,False,,0.9995,1.0,19.5087,0.0,journal,False
paper_f0adac17-9d46-4a_1777438108,Chicago,2026-05-01,core,resolved,gamma,0.495,0.99,388.34951456310677,1.0,196.1165,True,1777660207,0.9995,0.99,192.233,-3.8835,journal,False
paper_eb4e9f83-accb-44_1777438111,Sao Paulo,2026-05-01,core,resolved,early_exit_position_manager,0.195,0.39,1025.6410256410256,0.56,374.359,True,1777572013,0.9995,0.39,200.0,-174.359,journal,False
